FileName_DAPI	FileName_DAPI_flatfield	FileName_Mts	Group_Index	Group_Number	ImageNumber	Intensity_MaxIntensity_Background_Mask	Intensity_MaxIntensity_MaskedMT_image	Intensity_MeanIntensity_Background_Mask	Intensity_MeanIntensity_MaskedMT_image	Intensity_MeanIntensity_Masked_Nuclei	Intensity_MedianIntensity_Background_Mask	Intensity_MedianIntensity_MaskedMT_image	Intensity_MinIntensity_Background_Mask	Intensity_MinIntensity_MaskedMT_image	Intensity_StdIntensity_Background_Mask	Intensity_StdIntensity_MaskedMT_image	Intensity_StdIntensity_Masked_Nuclei	Intensity_TotalArea_Background_Mask	Intensity_TotalArea_MaskedMT_image	Intensity_TotalArea_Masked_Nuclei	Intensity_TotalIntensity_Background_Mask	Intensity_TotalIntensity_MaskedMT_image	Intensity_TotalIntensity_Masked_Nuclei
Image016_ch00.tif	Image005_fh00.tif	Image016_ch01.tif	8	4	53	3.66667	25.3333	1.07962804388	5.34130835976	39.0954687848	1.0	5.0	0.0	1.6	0.263269	1.91035	9.2605	25117	490385	80762	27117.0	2.6193e+06	3.15743e+06
Image018_ch00.tif	Image005_fh00.tif	Image018_ch01.tif	9	4	54	5.33333	35.3333	1.02424828347	6.61596764554	49.152677172	1.0	6.0	0.0	1.33333	0.150724	2.7736	12.6493	223925	373117	47214	229355.0	2.46853e+06	2.32069e+06
Image020_ch00.tif	Image005_fh00.tif	Image020_ch01.tif	10	4	55	5.0	43.6667	1.020397767	7.69793685101	46.4085336587	1.0	7.0	0.0	0.0	0.131871	3.43274	12.953	205934	451567	50002	210135.0	3.47613e+06	2.32052e+06
Image022_ch00.tif	Image005_fh00.tif	Image022_ch01.tif	11	4	56	4.0	24.6667	1.15244807216	5.68067349201	38.3475384494	1.0	5.33333	0.0	1.33333	0.328864	2.1006	11.6096	48902	484371	76334	56357.0	2.75155e+06	2.92722e+06
Image024_ch00.tif	Image005_fh00.tif	Image024_ch01.tif	12	4	57	3.0	38.0	1.01158458143	3.67731167729	31.0780181279	1.0	3.0	0.0	1.33333	0.0792783	1.80625	9.92032	167321	371105	41814	169259.0	1.36467e+06	1.2995e+06
Image026_ch00.tif	Image005_fh00.tif	Image026_ch01.tif	13	4	58	4.33333	25.6667	1.00761591402	6.86957927577	41.5135708828	1.0	6.33333	0.0	1.33333	0.0686904	2.91815	11.7936	422684	356433	40574	425903.0	2.44854e+06	1.68437e+06
Image028_ch00.tif	Image005_fh00.tif	Image028_ch01.tif	14	4	59	5.33333	56.3333	1.28342618249	7.31611999343	48.1965076278	1.0	6.66667	0.0	1.66667	0.438176	2.97671	12.0117	40217	419873	68893	51615.6	3.07184e+06	3.3204e+06
Image031_ch00.tif	Image005_fh00.tif	Image031_ch01.tif	15	4	60	5.33333	40.3333	1.01232432568	7.50700079866	44.3150202128	1.0	6.66667	0.0	0.0	0.134884	2.94788	10.644	74890	498336	68521	75813.0	3.74101e+06	3.03651e+06
Image002_ch00.tif	Image005_fh00.tif	Image002_ch01.tif	1	5	61	7.66667	72.6667	1.16719106964	11.0065272883	47.0254216647	1.0	9.66667	0.0	1.66667	0.286265	5.83328	11.8949	280140	262475	49269	326977.0	2.88894e+06	2.3169e+06
Image004_ch00.tif	Image005_fh00.tif	Image004_ch01.tif	2	5	62	10.0	53.6667	1.34769383406	11.911858842	43.569520965	1.0	10.6667	0.0	0.0	0.560403	5.15439	9.86759	79925	460222	68972	107714.0	5.4821e+06	3.00508e+06
Image006_ch00.tif	Image005_fh00.tif	Image006_ch01.tif	3	5	63	9.33333	58.3333	1.31922516413	12.9361251524	38.6102169999	1.0	11.3333	0.0	0.0	0.629951	5.68332	9.16967	33130	507829	53871	43705.9	6.56934e+06	2.07997e+06
Image008_ch00.tif	Image005_fh00.tif	Image008_ch01.tif	4	5	64	6.66667	57.3333	1.11414124985	10.0153605108	40.4472128666	1.0	8.66667	0.0	1.66667	0.235443	4.95186	10.0959	85020	440708	58788	94724.3	4.41385e+06	2.37781e+06
Image010_ch00.tif	Image005_fh00.tif	Image010_ch01.tif	5	5	65	7.33333	55.0	1.08037753961	10.4251202291	49.2373841243	1.0	9.33333	0.0	1.66667	0.244755	5.15562	11.2207	185166	457460	65156	200049.0	4.76908e+06	3.20811e+06
Image012_ch00.tif	Image005_fh00.tif	Image012_ch01.tif	6	5	66	6.66667	53.6667	1.0595862433	9.84079134577	38.0060754618	1.0	9.0	0.0	1.66667	0.202657	4.50858	10.0845	115551	517296	57115	122436.0	5.0906e+06	2.17072e+06
Image014_ch00.tif	Image005_fh00.tif	Image014_ch01.tif	7	5	67	9.33333	59.3333	1.08300653262	10.0590910866	37.5412196244	1.0	9.0	0.0	1.33333	0.323366	4.80416	9.71458	122845	461034	60863	133042.0	4.63758e+06	2.28487e+06
Image016_ch00.tif	Image005_fh00.tif	Image016_ch01.tif	8	5	68	9.66667	53.6667	1.18935289103	9.56659704572	47.6422774508	1.0	8.66667	0.0	0.0	0.462642	4.44995	10.9687	129755	476868	65244	154324.0	4.562e+06	3.10837e+06
Image018_ch00.tif	Image005_fh00.tif	Image018_ch01.tif	9	5	69	5.66667	50.6667	1.02571112037	7.7342448225	36.6758698823	1.0	6.66667	0.0	0.0	0.153148	3.97716	10.1716	196266	371608	47995	201312.0	2.87411e+06	1.76026e+06
Image020_ch00.tif	Image005_fh00.tif	Image020_ch01.tif	10	5	70	6.0	43.3333	1.04680884531	7.4311110183	34.1141167103	1.0	6.33333	0.0	1.33333	0.161266	3.77807	11.2729	186353	371137	53063	195076.0	2.75796e+06	1.8102e+06
Image022_ch00.tif	Image005_fh00.tif	Image022_ch01.tif	11	5	71	7.66667	55.0	1.20547700484	11.0489787427	43.2347591924	1.33333	10.0	0.0	1.66667	0.225883	5.34877	11.1507	212186	394171	53196	255785.0	4.35519e+06	2.29992e+06
Image025_ch00.tif	Image005_fh00.tif	Image025_ch01.tif	12	5	72	5.33333	35.6667	1.01122374318	7.16969537176	43.0640631118	1.0	6.33333	0.0	1.33333	0.0959301	3.50677	13.71	307682	320489	40864	311135.0	2.29781e+06	1.75977e+06
Image027_ch00.tif	Image005_fh00.tif	Image027_ch01.tif	13	5	73	8.33333	52.6667	1.21642877432	9.70798514786	48.041495367	1.0	8.66667	0.0	0.0	0.571119	4.38248	12.2673	14082	470774	63242	17129.8	4.57027e+06	3.03824e+06
